run_dir,sample_dir,variant,sample_index,seed,prompt,target_flow_mode,guidance_weight,raft_iters,ddim_steps,skip_diffusion,final_output_source,final_composite_applied,runtime_seconds,final_total_loss_last,final_total_loss_min,final_flow_loss_last,final_flow_loss_min,final_color_loss_last,final_color_loss_min,guidance_norm_mean,guidance_norm_max,noise_norm_mean,background_preservation_l1_final,background_preservation_l1_pre_composite,background_preservation_l1_diffusion,object_sharpness_laplacian_var,boundary_gradient_score,boundary_color_jump,source_hole_gradient_score,source_hole_color_jump,support_pixels,destination_support_pixels,source_hole_pixels,background_pixels
results/extra_cases_smoke/lion_seed0_skip_dx100,results/extra_cases_smoke/lion_seed0_skip_dx100/sample_000,lion,0,0,a photo of a lion,primitive,30.0,1,2,True,deterministic_warp_inpaint_composite,True,2.9275505542755127,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005023949197493494,0.0005023949197493494,0.0005023949197493494,0.12025987356901169,0.21001367270946503,0.16160671412944794,0.04031091183423996,0.047695208340883255,96960,48960,48000,159664
results/extra_cases_smoke/lion_seed0_steps2,results/extra_cases_smoke/lion_seed0_steps2/sample_000,lion,0,0,a photo of a lion,primitive,30.0,1,2,False,pre_composite_diffusion,False,3.4875996112823486,73.48469543457031,45.974754333496094,20.324588775634766,10.93385124206543,0.12510932981967926,0.12510932981967926,30.000001907348633,60.000003814697266,104.84881591796875,0.014288767240941525,0.014288767240941525,0.07548178732395172,0.15596453845500946,0.2896253168582916,0.06828710436820984,0.11952883750200272,0.16245245933532715,96960,96960,48000,110864
results/extra_cases_smoke/teapot_seed0_steps2,results/extra_cases_smoke/teapot_seed0_steps2/sample_000,teapot,0,0,a teapot floating in water,primitive,30.0,1,2,False,final_composite,True,3.47987961769104,46.0109977722168,46.0109977722168,11.033674240112305,10.471979141235352,0.1290997564792633,0.1290997564792633,29.999996185302734,59.99999237060547,109.6376724243164,0.0005316853639669716,0.03214501962065697,0.10115695744752884,0.12261981517076492,0.44560110569000244,0.33231106400489807,0.031633101403713226,0.1504613310098648,42940,37308,30773,179068
results/extra_cases_smoke/tree_seed0_steps2,results/extra_cases_smoke/tree_seed0_steps2/sample_000,tree,0,0,a painting of a lone tree,file,30.0,1,2,False,pre_composite_diffusion,False,3.376268148422241,31.466861724853516,31.466861724853516,6.201845169067383,6.201845169067383,0.12861326336860657,0.12861326336860657,29.999998092651367,59.999996185302734,100.19422149658203,0.008624839596450329,0.008624839596450329,0.05300508067011833,0.12380531430244446,0.4715794324874878,0.1402885615825653,0.34111133217811584,0.07928358763456345,64089,32280,32091,187953
