run_dir,sample_dir,variant,sample_index,seed,prompt,target_flow_mode,guidance_weight,raft_iters,ddim_steps,skip_diffusion,final_output_source,final_composite_applied,runtime_seconds,final_total_loss_last,final_total_loss_min,final_flow_loss_last,final_flow_loss_min,final_color_loss_last,final_color_loss_min,guidance_norm_mean,guidance_norm_max,noise_norm_mean,background_preservation_l1_final,background_preservation_l1_pre_composite,background_preservation_l1_diffusion,object_sharpness_laplacian_var,boundary_gradient_score,boundary_color_jump,source_hole_gradient_score,source_hole_color_jump,support_pixels,destination_support_pixels,source_hole_pixels,background_pixels
results/core_ablation/apple_diffusion_no_raft_seed0,results/core_ablation/apple_diffusion_no_raft_seed0/sample_000,diffusion_no_raft,0,0,an apple on a wooden table,primitive,0.0,1,120,False,pre_composite_diffusion,False,164.40103459358215,30.57261085510254,30.14917755126953,8.457971572875977,8.164031028747559,0.05198695510625839,0.05198695510625839,0.0,0.0,117.98139953613281,0.013637685216963291,0.013637685216963291,0.037146925926208496,0.019246352836489677,0.118839330971241,0.04342002794146538,0.06901717931032181,0.004820684436708689,53285,53285,37000,160604
results/core_ablation/apple_diffusion_no_raft_seed1,results/core_ablation/apple_diffusion_no_raft_seed1/sample_000,diffusion_no_raft,0,1,an apple on a wooden table,primitive,0.0,1,120,False,pre_composite_diffusion,False,178.85145926475525,30.57261085510254,30.14917755126953,8.457971572875977,8.164031028747559,0.05198695510625839,0.05198695510625839,0.0,0.0,117.98139953613281,0.013637685216963291,0.013637685216963291,0.037146925926208496,0.019246352836489677,0.118839330971241,0.04342002794146538,0.06901717931032181,0.004820684436708689,53285,53285,37000,160604
results/core_ablation/apple_diffusion_no_raft_seed2,results/core_ablation/apple_diffusion_no_raft_seed2/sample_000,diffusion_no_raft,0,2,an apple on a wooden table,primitive,0.0,1,120,False,pre_composite_diffusion,False,178.2361283302307,30.57261085510254,30.14917755126953,8.457971572875977,8.164031028747559,0.05198695510625839,0.05198695510625839,0.0,0.0,117.98139953613281,0.013637685216963291,0.013637685216963291,0.037146925926208496,0.019246352836489677,0.118839330971241,0.04342002794146538,0.06901717931032181,0.004820684436708689,53285,53285,37000,160604
results/core_ablation/apple_diffusion_raft_seed0,results/core_ablation/apple_diffusion_raft_seed0/sample_000,diffusion_raft,0,0,an apple on a wooden table,primitive,30.0,1,120,False,pre_composite_diffusion,False,172.33305478096008,21.72382926940918,14.036433219909668,5.797491073608398,3.0421674251556396,0.043313562870025635,0.043313562870025635,43.891239166259766,60.00000762939453,127.36293029785156,0.006921867839992046,0.006921867839992046,0.030475659295916557,0.014125114306807518,0.11582526564598083,0.03667493537068367,0.05371055379509926,0.01786423660814762,53285,53285,37000,160604
results/core_ablation/apple_diffusion_raft_seed1,results/core_ablation/apple_diffusion_raft_seed1/sample_000,diffusion_raft,0,1,an apple on a wooden table,primitive,30.0,1,120,False,pre_composite_diffusion,False,176.81796503067017,22.86000633239746,13.298657417297363,6.319788932800293,3.0529026985168457,0.03900641202926636,0.03882934898138046,44.02313232421875,60.000003814697266,126.66889953613281,0.007182828616350889,0.007182828616350889,0.0274294912815094,0.02155975252389908,0.11670514941215515,0.04631425812840462,0.07587495446205139,0.01702837087213993,53285,53285,37000,160604
results/core_ablation/apple_diffusion_raft_seed2,results/core_ablation/apple_diffusion_raft_seed2/sample_000,diffusion_raft,0,2,an apple on a wooden table,primitive,30.0,1,120,False,pre_composite_diffusion,False,177.85031414031982,20.98464584350586,14.962081909179688,5.287899971008301,3.1216955184936523,0.0512094609439373,0.0512094609439373,45.71829605102539,60.000003814697266,127.76216888427734,0.009826277382671833,0.009826277382671833,0.02994062937796116,0.009462135843932629,0.12395928055047989,0.018047302961349487,0.09170505404472351,0.02414427138864994,53285,53285,37000,160604
results/core_ablation/apple_full_pipeline_seed0,results/core_ablation/apple_full_pipeline_seed0/sample_000,full_pipeline,0,0,an apple on a wooden table,primitive,30.0,1,120,False,final_composite,True,175.16764664649963,22.72057342529297,15.551374435424805,5.789365291595459,3.2351438999176025,0.053524769842624664,0.053524769842624664,46.46011734008789,60.00000762939453,127.65164947509766,0.0007736318511888385,0.008332687430083752,0.03297805041074753,0.03411860391497612,0.2523163855075836,0.14679042994976044,0.0901261568069458,0.00910590123385191,53285,53285,37000,160604
results/core_ablation/apple_full_pipeline_seed1,results/core_ablation/apple_full_pipeline_seed1/sample_000,full_pipeline,0,1,an apple on a wooden table,primitive,30.0,1,120,False,final_composite,True,174.16151547431946,22.4571533203125,14.792594909667969,5.971185684204102,3.235908031463623,0.04543595761060715,0.04543595761060715,45.215301513671875,60.00000762939453,127.86054992675781,0.0007736318511888385,0.007223564200103283,0.033948808908462524,0.03411860391497612,0.2523163855075836,0.14679042994976044,0.0901261568069458,0.00910590123385191,53285,53285,37000,160604
results/core_ablation/apple_full_pipeline_seed2,results/core_ablation/apple_full_pipeline_seed2/sample_000,full_pipeline,0,2,an apple on a wooden table,primitive,30.0,1,120,False,final_composite,True,179.00340938568115,19.95132827758789,13.521421432495117,5.244321823120117,2.92250394821167,0.042183633893728256,0.042183633893728256,44.371734619140625,60.00000762939453,126.97002410888672,0.0007736318511888385,0.007905752398073673,0.029984839260578156,0.03411860391497612,0.2523163855075836,0.14679042994976044,0.0901261568069458,0.00910590123385191,53285,53285,37000,160604
results/core_ablation/apple_original_motion_guidance_seed0,results/core_ablation/apple_original_motion_guidance_seed0/sample_000,original_motion_guidance,0,0,an apple on a wooden table,file,30.0,1,120,False,pre_composite_diffusion,False,167.7856740951538,48.53705596923828,28.533079147338867,15.304954528808594,7.997706413269043,0.026221927255392075,0.026221927255392075,47.94315719604492,60.000003814697266,129.5343475341797,0.004657857120037079,0.004657857120037079,0.004657857120037079,0.015040455386042595,0.14035579562187195,0.10181062668561935,0.10839199274778366,0.08807438611984253,53285,53285,37000,160604
