run_dir,sample_dir,variant,sample_index,seed,prompt,target_flow_mode,guidance_weight,raft_iters,ddim_steps,skip_diffusion,final_output_source,final_composite_applied,runtime_seconds,final_total_loss_last,final_total_loss_min,final_flow_loss_last,final_flow_loss_min,final_color_loss_last,final_color_loss_min,guidance_norm_mean,guidance_norm_max,noise_norm_mean,background_preservation_l1_final,background_preservation_l1_pre_composite,background_preservation_l1_diffusion,object_sharpness_laplacian_var,boundary_gradient_score,boundary_color_jump,source_hole_gradient_score,source_hole_color_jump,support_pixels,destination_support_pixels,source_hole_pixels,background_pixels
results/extra_cases/teapot_full_pipeline_seed0,results/extra_cases/teapot_full_pipeline_seed0/sample_000,teapot_full_pipeline,0,0,a teapot floating in water,primitive,30.0,1,120,False,final_composite,True,169.1870710849762,17.936601638793945,14.031059265136719,4.295032978057861,3.1142778396606445,0.05051501840353012,0.046579014509916306,45.071475982666016,60.000003814697266,126.4254379272461,0.0005316853639669716,0.008279266767203808,0.030616730451583862,0.12261981517076492,0.44560110569000244,0.33231106400489807,0.031633101403713226,0.1504613310098648,42940,37308,30773,179068
results/extra_cases/teapot_full_pipeline_seed1,results/extra_cases/teapot_full_pipeline_seed1/sample_000,teapot_full_pipeline,0,1,a teapot floating in water,primitive,30.0,1,120,False,final_composite,True,171.30693531036377,17.125049591064453,12.8431396484375,4.330122947692871,2.9139294624328613,0.041346803307533264,0.04000978544354439,43.53575134277344,60.000003814697266,126.19544219970703,0.0005316853639669716,0.007569621782749891,0.02362356148660183,0.12261981517076492,0.44560110569000244,0.33231106400489807,0.031633101403713226,0.1504613310098648,42940,37308,30773,179068
results/extra_cases/teapot_full_pipeline_seed2,results/extra_cases/teapot_full_pipeline_seed2/sample_000,teapot_full_pipeline,0,2,a teapot floating in water,primitive,30.0,1,120,False,final_composite,True,172.0749385356903,17.176116943359375,14.584497451782227,4.063667297363281,3.2343974113464355,0.04985114187002182,0.04848231375217438,45.6554069519043,60.00000762939453,126.94558715820312,0.0005316853639669716,0.008273901417851448,0.02653852477669716,0.12261981517076492,0.44560110569000244,0.33231106400489807,0.031633101403713226,0.1504613310098648,42940,37308,30773,179068
results/extra_cases/tree_full_pipeline_seed0,results/extra_cases/tree_full_pipeline_seed0/sample_000,tree_full_pipeline,0,0,a painting of a lone tree,file,30.0,1,120,False,pre_composite_diffusion,False,168.97995352745056,15.658233642578125,10.99986743927002,3.830425500869751,2.138308048248291,0.0416695699095726,0.0416695699095726,44.945186614990234,60.00000762939453,127.49623107910156,0.0009319948148913682,0.0009319948148913682,0.0036556427367031574,0.08518268913030624,0.24512439966201782,0.1907864212989807,0.11512436717748642,0.13092492520809174,64089,32280,32091,187953
results/extra_cases/tree_full_pipeline_seed1,results/extra_cases/tree_full_pipeline_seed1/sample_000,tree_full_pipeline,0,1,a painting of a lone tree,file,30.0,1,120,False,pre_composite_diffusion,False,173.8130829334259,15.597734451293945,11.828908920288086,3.2053613662719727,1.86879301071167,0.05981650948524475,0.05981650948524475,36.346126556396484,60.000003814697266,124.63712310791016,0.0013849381357431412,0.0013849381357431412,0.005681533832103014,0.40286895632743835,0.12583404779434204,0.23399609327316284,0.057983607053756714,0.12351038306951523,64089,32280,32091,187953
results/extra_cases/tree_full_pipeline_seed2,results/extra_cases/tree_full_pipeline_seed2/sample_000,tree_full_pipeline,0,2,a painting of a lone tree,file,30.0,1,120,False,pre_composite_diffusion,False,175.2427315711975,15.85863208770752,10.41594123840332,3.918931484222412,2.0652525424957275,0.04101838171482086,0.04101838171482086,42.30685806274414,60.000003814697266,125.37964630126953,0.0018250843277201056,0.0018250843277201056,0.009330018423497677,0.0912475436925888,0.2865206301212311,0.11760839819908142,0.20125748217105865,0.08880403637886047,64089,32280,32091,187953
